,img_id,common_name,img_name
0,2ce50250-84ca-4a83-b263-2f24bf522d0d,Coyote,2ce50250-84ca-4a83-b263-2f24bf522d0d_932
1,3b45f93b-1539-4a7a-8577-8de6a12015e1,Coyote,3b45f93b-1539-4a7a-8577-8de6a12015e1_647
2,85f21059-cb89-48bf-98c6-30440c02f0f5,Coyote,85f21059-cb89-48bf-98c6-30440c02f0f5_947
3,ed0e7715-c052-4599-a366-bd50134aca77,Coyote,ed0e7715-c052-4599-a366-bd50134aca77_939
4,1f29dc37-29b1-4c7b-937d-8bc4e31372ec,Coyote,1f29dc37-29b1-4c7b-937d-8bc4e31372ec_937
5,0d26973b-f21d-4694-8449-570dafaf620b,Coyote,0d26973b-f21d-4694-8449-570dafaf620b_938
6,c44ff1e8-b31c-41ba-8d49-b0fb60836eb3,Coyote,c44ff1e8-b31c-41ba-8d49-b0fb60836eb3_814
7,d7ca8bc4-0a12-419e-9977-a9df4d242e98,Coyote,d7ca8bc4-0a12-419e-9977-a9df4d242e98_816
8,d6bf5495-d8a7-495c-beb9-a44d5c58acd4,Coyote,d6bf5495-d8a7-495c-beb9-a44d5c58acd4_753
9,a81f5c46-0fef-43c2-902a-bf5fd863a479,Coyote,a81f5c46-0fef-43c2-902a-bf5fd863a479_893
10,80e5f30f-52e5-4772-9da6-3889977f5955,Coyote,80e5f30f-52e5-4772-9da6-3889977f5955_945
11,40317e58-5d37-4c91-a1f3-220f94d4b90b,Wild Boar,40317e58-5d37-4c91-a1f3-220f94d4b90b_474
12,a3a84020-f864-4e44-adf7-89cfb529f208,Coyote,a3a84020-f864-4e44-adf7-89cfb529f208_860
13,3cbbd8e6-215f-486d-b7d9-f65e9f166817,Coyote,3cbbd8e6-215f-486d-b7d9-f65e9f166817_899
14,d3f79458-d792-4d52-b7f5-4e82d71e3dbf,Coyote,d3f79458-d792-4d52-b7f5-4e82d71e3dbf_862
15,a8f87cdc-50ba-4ce3-9905-09b8f80ad9d8,Coyote,a8f87cdc-50ba-4ce3-9905-09b8f80ad9d8_862
16,7f625790-4530-4933-acbc-12760494ab67,Coyote,7f625790-4530-4933-acbc-12760494ab67_610
17,fbb41605-c1e3-43dd-aec4-d0d5fbc2e009,Coyote,fbb41605-c1e3-43dd-aec4-d0d5fbc2e009_944
18,8c24feed-a790-4cc3-a66e-d6a123161c66,Coyote,8c24feed-a790-4cc3-a66e-d6a123161c66_940
19,62d0c75c-f790-4888-9e2e-9d13ff01ff99,Coyote,62d0c75c-f790-4888-9e2e-9d13ff01ff99_832
20,da2d2872-d85a-4d06-935f-778bc782dbc8,Coyote,da2d2872-d85a-4d06-935f-778bc782dbc8_943
21,87527ef9-27c7-4f2d-9380-f10567c47a38,Coyote,87527ef9-27c7-4f2d-9380-f10567c47a38_859
22,b0a2f320-16f6-49c3-9653-7f0c43eaf713,Coyote,b0a2f320-16f6-49c3-9653-7f0c43eaf713_958
23,a53826ff-5348-47ab-b181-bf7bf91ce772,Coyote,a53826ff-5348-47ab-b181-bf7bf91ce772_970
24,7f718647-538a-45e7-8057-b6a8fc9e36e4,Coyote,7f718647-538a-45e7-8057-b6a8fc9e36e4_973
25,ab992f65-441a-4095-9597-25d74d25b0d8,Coyote,ab992f65-441a-4095-9597-25d74d25b0d8_970
26,2fbfcef5-31f8-4860-b9c1-537472508316,Wild Boar,2fbfcef5-31f8-4860-b9c1-537472508316_746
